freeze start frame [s:frame],unfreeze frame [s:frame],freeze start time [s],unfreeze time [s],Notes,Link,https://youtu.be/jgaVLFQQbtw
6.29,,6.967,,refrozen before unfreeze,,
10.12,12.17,10.400,12.567,,,
13.29,16.02,13.967,16.067,,,
17.08,19.22,17.267,19.733,,,
20.22,22.25,20.733,22.833,,,
24.06,26.07,24.200,26.233,,,
27.21,30.02,27.700,30.067,,,
31.05,33.11,31.167,33.367,,,
41.16,45.01,41.533,45.033,,,
45.01,47.09,45.033,47.300,,,
48.16,51.00,48.533,51.000,,,
52.01,54.11,52.033,54.367,,,
57.09,60.13,57.300,60.433,,,
66.07,69.19,66.233,69.633,,,
69.25,72.09,69.833,72.300,,,
73.09,75.13,73.300,75.433,,,
76.22,79.01,76.733,79.033,,,
80.07,82.14,80.233,82.467,,,
83.24,85.25,83.800,85.833,,,
87.08,89.08,87.267,89.267,,,
90.22,92.29,90.733,92.967,,,
94.06,96.18,94.200,96.600,,,
97.19,99.28,97.633,99.933,,,
101.04,103.13,101.133,103.433,,,
104.19,106.21,104.633,106.700,,,
108.05,110.17,108.167,110.567,,,
115.04,118.22,115.133,118.733,,,
121.04,124.21,121.133,124.700,,,
124.23,127.08,124.767,127.267,,,
128.08,130.18,128.267,130.600,,,
131.02,133.26,131.067,133.867,,,
135.04,137.15,135.133,137.500,,,
138.23,140.24,138.767,140.800,,,
142.04,144.06,142.133,144.200,ruin guard moves,,
152.26,155.10,152.867,155.333,hold e,,
156.14,159.21,156.467,159.700,,,
159.29,162.05,159.967,162.167,,,
163.11,165.18,163.367,165.600,,,
166.25,169.10,166.833,169.333,I think it dropped a few frames here :(,,
170.10,172.10,170.333,172.333,,,
176.16,,176.533,,did not unfreeze,,
179.28,182.15,179.933,182.500,,,
183.13,185.18,183.433,185.600,,,
187.00,189.16,187.000,189.533,,,
190.17,192.21,190.567,192.700,,,
194.00,196.02,194.000,196.067,,,
197.13,199.28,197.433,199.933,,,
201.00,203.03,201.000,203.100,,,
204.17,206.27,204.567,206.900,dropped frames?,,
208.01,210.08,208.033,210.267,,,
211.11,213.16,211.367,213.533,,,
214.29,217.10,214.967,217.333,,,
218.17,220.24,218.567,220.800,,,
221.29,224.07,221.967,224.233,,,
225.17,227.20,225.567,227.667,,,
229.20,232.00,229.667,232.000,,,
234.06,236.16,234.200,236.533,,,
237.21,240.07,237.700,240.233,Dropped frames ¬_¬,,
241.08,243.18,241.267,243.600,dropped so many frames it's probably way off,,
244.18,246.23,244.600,246.767,,,
248.01,250.11,248.033,250.367,,,
251.29,254.17,251.967,254.567,ruin guard moves,,
255.00,256.28,255.000,256.933,"ruin guard moves, but dropped frames again",,
263.24,267.05,263.800,267.167,augh frames dropped,,
269.05,,269.167,,did not unfreeze,,
272.17,274.26,272.567,274.867,,,
276.03,278.12,276.100,278.400,,,
279.18,281.26,279.600,281.867,,,
283.03,285.05,283.100,285.167,,,
289.16,,289.533,,did not unfreeze,,
292.04,295.07,292.133,295.233,,,
296.10,298.23,296.333,298.767,,,
299.25,302.02,299.833,302.067,,,
303.10,305.19,303.333,305.633,,,
306.25,308.25,306.833,308.833,,,
310.09,312.20,310.300,312.667,,,
313.22,316.01,313.733,316.033,,,
317.09,319.13,317.300,319.433,,,
320.22,323.00,320.733,323.000,,,
324.06,326.09,324.200,326.300,,,
327.19,329.25,327.633,329.833,,,
331.03,333.06,331.100,333.200,,,
334.19,336.26,334.633,336.867,rip diona,,